,origem,destino
0,Hospital Regional da Asa Norte,"(-15.7431358,-47.89162049999999)"
1,Hospital Regional da Asa Norte,"(-15.7732459,-47.89242780000001)"
2,Hospital Regional da Ceilândia,"(-15.5389184,-48.1685104)"
3,Hospital Regional da Ceilândia,"(-15.6589014,-48.1930314)"
4,Hospital Regional da Ceilândia,"(-15.6698514,-48.2004701)"
5,Hospital Regional da Ceilândia,"(-15.6728185,-48.2003232)"
6,Hospital Regional da Ceilândia,"(-15.6772371,-48.1949629)"
7,Hospital Regional da Ceilândia,"(-15.7851944,-48.1365487)"
8,Hospital Regional da Ceilândia,"(-15.7956911,-48.1309163)"
9,Hospital Regional da Ceilândia,"(-15.7983005,-48.1336503)"
10,Hospital Regional da Ceilândia,"(-15.8011248,-48.0941947)"
11,Hospital Regional da Ceilândia,"(-15.8031819,-48.1117556)"
12,Hospital Regional da Ceilândia,"(-15.8046599,-48.1434216)"
13,Hospital Regional da Ceilândia,"(-15.8068817,-48.1299527)"
14,Hospital Regional da Ceilândia,"(-15.8078351,-48.1205846)"
15,Hospital Regional da Ceilândia,"(-15.8093579,-48.1563721)"
16,Hospital Regional da Ceilândia,"(-15.8153732,-48.1176118)"
17,Hospital Regional da Ceilândia,"(-15.8186984,-48.130117)"
18,Hospital Regional da Ceilândia,"(-15.8210801,-48.0923058)"
19,Hospital Regional da Ceilândia,"(-15.8245621,-48.11346899999999)"
20,Hospital Regional da Ceilândia,"(-15.8288882,-48.246458)"
21,Hospital Regional da Ceilândia,"(-15.8309646,-48.0966408)"
22,Hospital Regional da Ceilândia,"(-15.8402161,-48.1142165)"
23,Hospital Regional da Ceilândia,"(-15.8465998,-48.1235636)"
24,Hospital Regional da Ceilândia,"(-15.846837,-48.11453239999999)"
25,Hospital Regional da Ceilândia,"(-15.8756717,-48.1099171)"
26,Hospital Regional da Ceilândia,"(-15.8779725,-48.0825129)"
27,Hospital Regional da Ceilândia,"(-15.8848909,-48.0885726)"
28,Hospital Regional da Ceilândia,"(-15.8877425,-48.146971)"
29,Hospital Regional da Ceilândia,"(-15.8902308,-48.141967)"
30,Hospital Regional da Ceilândia,"(-15.8914258,-48.1124957)"
31,Hospital Regional da Ceilândia,"(-15.8985682,-48.1209731)"
32,Hospital Regional da Ceilândia,"(-15.9020836,-48.060095)"
33,Hospital Regional da Ceilândia,"(-15.9022363,-48.060078)"
34,Hospital Regional da Ceilândia,"(-15.9058571,-48.04591749999999)"
35,Hospital Regional da Ceilândia,"(-15.9093167,-48.0493689)"
36,Hospital Regional da Ceilândia,"(-15.9146759,-48.0595738)"
37,Hospital Regional da Ceilândia,"(-15.9193784,-48.1016533)"
38,Hospital Regional da Ceilândia,"(-15.9198778,-48.1019637)"
39,Hospital Regional da Ceilândia,"(-15.9199129,-48.101918)"
40,Hospital Regional da Ceilândia,"(-15.9377841,-48.2278267)"
41,Hospital Regional de Planaltina,"(-15.4498015,-47.60926689999999)"
42,Hospital Regional de Planaltina,"(-15.5236592,-47.6187935)"
43,Hospital Regional de Planaltina,"(-15.6027694,-47.6482851)"
44,Hospital Regional de Planaltina,"(-15.6044882,-47.6602599)"
45,Hospital Regional de Planaltina,"(-15.6123458,-47.643206)"
46,Hospital Regional de Planaltina,"(-15.6153888,-47.6506249)"
47,Hospital Regional de Planaltina,"(-15.6198199,-47.6803603)"
48,Hospital Regional de Planaltina,"(-15.6210428,-47.6580844)"
49,Hospital Regional de Planaltina,"(-15.6327977,-47.67400910000001)"
50,Hospital Regional de Planaltina,"(-15.6335752,-47.5216135)"
51,Hospital Regional de Planaltina,"(-15.6392856,-47.6469289)"
52,Hospital Regional de Planaltina,"(-15.6408638,-47.6400592)"
53,Hospital Regional de Planaltina,"(-15.6712004,-47.6453394)"
54,Hospital Regional de Planaltina,"(-15.6792755,-47.6483248)"
55,Hospital Regional de Planaltina,"(-15.7472453,-47.66254980000001)"
56,Hospital Regional de Planaltina,"(-15.7626779,-47.4928693)"
57,Hospital Regional de Planaltina,"(-15.9068801,-47.5172642)"
58,Hospital Regional de Planaltina,"(-15.9194495,-47.6057573)"
