,origem,destino
0,Hospital Regional da Ceilândia,"(-15.5389184, -48.1685104)"
1,Hospital Regional da Ceilândia,"(-15.6272893, -48.1195424)"
2,Hospital Regional da Ceilândia,"(-15.6589014, -48.1930314)"
3,Hospital Regional da Ceilândia,"(-15.6698514, -48.2004701)"
4,Hospital Regional da Ceilândia,"(-15.6728185, -48.2003232)"
5,Hospital Regional da Ceilândia,"(-15.6743594, -48.1515114)"
6,Hospital Regional da Ceilândia,"(-15.6772371, -48.1949629)"
7,Hospital Regional da Ceilândia,"(-15.7851944, -48.1365487)"
8,Hospital Regional da Ceilândia,"(-15.7956911, -48.1309163)"
9,Hospital Regional da Ceilândia,"(-15.7983005, -48.1336503)"
10,Hospital Regional da Ceilândia,"(-15.8011248, -48.0941947)"
11,Hospital Regional da Ceilândia,"(-15.8031819, -48.1117556)"
12,Hospital Regional da Ceilândia,"(-15.8046599, -48.1434216)"
13,Hospital Regional da Ceilândia,"(-15.8068817, -48.1299527)"
14,Hospital Regional da Ceilândia,"(-15.8078351, -48.1205846)"
15,Hospital Regional da Ceilândia,"(-15.8087873, -48.0634473)"
16,Hospital Regional da Ceilândia,"(-15.8093579, -48.1563721)"
17,Hospital Regional da Ceilândia,"(-15.8104981, -48.0631765)"
18,Hospital Regional da Ceilândia,"(-15.8153732, -48.1176118)"
19,Hospital Regional da Ceilândia,"(-15.8186984, -48.130117)"
20,Hospital Regional da Ceilândia,"(-15.8210801, -48.0923058)"
21,Hospital Regional da Ceilândia,"(-15.8245621, -48.11346899999999)"
22,Hospital Regional da Ceilândia,"(-15.8288882, -48.246458)"
23,Hospital Regional da Ceilândia,"(-15.8309646, -48.0966408)"
24,Hospital Regional da Ceilândia,"(-15.8331117, -48.0776022)"
25,Hospital Regional da Ceilândia,"(-15.8363618, -48.0629443)"
26,Hospital Regional da Ceilândia,"(-15.8402161, -48.1142165)"
27,Hospital Regional da Ceilândia,"(-15.8465998, -48.1235636)"
28,Hospital Regional da Ceilândia,"(-15.846837, -48.11453239999999)"
29,Hospital Regional da Ceilândia,"(-15.8627563, -48.0789461)"
30,Hospital Regional da Ceilândia,"(-15.8659712, -48.07467159999999)"
31,Hospital Regional da Ceilândia,"(-15.8756717, -48.1099171)"
32,Hospital Regional da Ceilândia,"(-15.8779725, -48.0825129)"
33,Hospital Regional da Ceilândia,"(-15.8848909, -48.0885726)"
34,Hospital Regional da Ceilândia,"(-15.8902308, -48.141967)"
35,Hospital Regional da Ceilândia,"(-15.8914258, -48.1124957)"
36,Hospital Regional da Ceilândia,"(-15.8985682, -48.1209731)"
